payee_name,maker,fiscal_year,spend,checks
SHI INTERNATIONAL CORP,Broadcom/Symantec/CA,2024,1377770.54,1
CDW GOVERNMENT LLC,Infoblox,2026,1304432.81,9
SHI INTERNATIONAL CORP,Skyhigh Security,2026,1286342.87,9
CDW GOVERNMENT LLC,Oracle,2026,1274837.1300000001,8
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Cisco,2022,1256926.59,66
CDW GOVERNMENT LLC,Nutanix,2021,1239865.76,3
CDW GOVERNMENT LLC,F5,2018,1239423.56,8
WORLD WIDE TECHNOLOGY LLC,Axon,2026,1228663.43,4
CARAHSOFT TECHNOLOGY CORP,ServiceNow,2018,1227089.37,12
SHI INTERNATIONAL CORP,Brocade,2020,1218178.89,19
SHI INTERNATIONAL CORP,Google,2024,1215446.75,4
DELL MARKETING LP,Broadcom/Symantec/CA,2015,1206438.0,1
CDW GOVERNMENT LLC,Commvault,2018,1197136.8399999999,2
SHI INTERNATIONAL CORP,Adobe,2021,1196996.54,63
CDW GOVERNMENT LLC,Avaya,2024,1187410.12,17
SHI INTERNATIONAL CORP,Netscout,2019,1166394.52,5
SHI INTERNATIONAL CORP,Fortinet,2020,1158193.69,9
CDW GOVERNMENT LLC,Splunk,2021,1157927.0,6
CDW GOVERNMENT LLC,BMC,2017,1151069.05,5
SHI INTERNATIONAL CORP,Informatica,2024,1150021.12,5
CDW GOVERNMENT LLC,CrowdStrike,2019,1144250.0,2
CDW GOVERNMENT LLC,Ciena,2020,1144166.56,1
SHI INTERNATIONAL CORP,Lenovo,2020,1126802.9,17
INSIGHT PUBLIC SECTOR INC,Unattributed,2025,1126579.48,79
SHI INTERNATIONAL CORP,Riverbed,2020,1126084.72,18
SHI INTERNATIONAL CORP,Citrix,2024,1118884.87,9
SHI INTERNATIONAL CORP,Commvault,2019,1117496.86,6
DELL MARKETING LP,Dell/EMC,2020,1067501.14,40
INSIGHT PUBLIC SECTOR INC,Unattributed,2018,1067138.08,51
CARAHSOFT TECHNOLOGY CORP,VMware,2016,1060014.0,2
SHI INTERNATIONAL CORP,Apple,2020,1058255.38,7
SHI INTERNATIONAL CORP,Lenovo,2022,1045038.73,69
CDW GOVERNMENT LLC,OpenText,2021,1013058.0299999999,5
SHI INTERNATIONAL CORP,Qualtrics,2025,1000712.0,2
SHI INTERNATIONAL CORP,Citrix,2023,997041.0700000001,6
SHI INTERNATIONAL CORP,HP/HPE,2019,994145.47,94
CDW GOVERNMENT LLC,NetApp,2022,984964.83,3
CDW GOVERNMENT LLC,ScienceLogic,2020,981988.16,1
SHI INTERNATIONAL CORP,Veritas,2025,933243.53,2
CDW GOVERNMENT LLC,Nutanix,2023,932588.52,19
INSIGHT PUBLIC SECTOR INC,Unattributed,2026,931848.09,26
SHI INTERNATIONAL CORP,Informatica,2026,929197.65,4
SHI INTERNATIONAL CORP,Veritas,2019,929160.22,7
SHI INTERNATIONAL CORP,Kofax/Tungsten,2020,925244.8300000001,18
SHI INTERNATIONAL CORP,Check Point,2022,922168.35,12
SHI INTERNATIONAL CORP,Canon,2021,914575.16,4
CDW GOVERNMENT LLC,NetApp,2018,910034.84,2
CDW GOVERNMENT LLC,Autodesk,2022,909298.6,35
SHI INTERNATIONAL CORP,NetApp,2022,909135.75,6
SHI INTERNATIONAL CORP,Redis,2026,906871.39,1
SHI INTERNATIONAL CORP,Riverbed,2022,904083.79,35
WORLD WIDE TECHNOLOGY LLC,Armis,2023,899937.1799999999,3
SHI INTERNATIONAL CORP,Broadcom/Symantec/CA,2015,899149.35,3
DELL MARKETING LP,Microsoft,2022,886616.17,17
SHI INTERNATIONAL CORP,Juniper,2022,882497.13,23
SHI INTERNATIONAL CORP,Citrix,2020,882101.21,6
CDW GOVERNMENT LLC,KnowBe4,2026,881600.0,1
CDW GOVERNMENT LLC,KnowBe4,2025,881600.0,1
SHI INTERNATIONAL CORP,Google,2023,877937.6,6
SHI INTERNATIONAL CORP,Riverbed,2023,870777.12,20
INSIGHT PUBLIC SECTOR INC,Unattributed,2017,857548.1799999999,10
SHI INTERNATIONAL CORP,Workday,2024,843081.88,10
CDW GOVERNMENT LLC,Dynatrace,2017,838975.0,1
CDW GOVERNMENT LLC,Splunk,2024,836059.28,3
SHI INTERNATIONAL CORP,SAP,2025,827766.0900000001,4
CDW GOVERNMENT LLC,Rapid7,2022,820898.67,2
CDW GOVERNMENT LLC,F5,2021,816038.1900000001,4
CDW GOVERNMENT LLC,Juniper,2017,814695.55,69
SHI INTERNATIONAL CORP,HP/HPE,2015,802633.2,3
CARAHSOFT TECHNOLOGY CORP,Salesforce,2016,795876.0,13
CDW GOVERNMENT LLC,Autodesk,2021,792499.5499999999,5
SHI INTERNATIONAL CORP,Juniper,2020,786739.22,16
CDW GOVERNMENT LLC,F5,2020,785696.05,2
CDW GOVERNMENT LLC,ScienceLogic,2021,781856.56,1
SHI INTERNATIONAL CORP,Lenovo,2019,779479.44,4
SHI INTERNATIONAL CORP,Tableau,2023,765612.73,44
SHI INTERNATIONAL CORP,Tableau,2021,760129.15,38
SHI INTERNATIONAL CORP,SAP,2024,759692.47,6
SHI INTERNATIONAL CORP,Broadcom/Symantec/CA,2016,757303.48,3
DELL MARKETING LP,Red Hat,2018,751654.6799999999,3
CDW GOVERNMENT LLC,Esri,2019,747631.3400000001,2
CDW GOVERNMENT LLC,F5,2019,743996.31,2
CDW GOVERNMENT LLC,Infoblox,2020,742577.97,4
CDW GOVERNMENT LLC,Oracle,2022,733706.4,1
CARAHSOFT TECHNOLOGY CORP,Unattributed,2015,731316.09,52
CDW GOVERNMENT LLC,Varonis,2026,725888.99,2
CDW GOVERNMENT LLC,Trellix/McAfee,2018,724960.06,1
CDW GOVERNMENT LLC,Axis Communications,2021,723817.1,18
GOVCONNECTION INC,Unattributed,2017,718986.28,249
SHI INTERNATIONAL CORP,Multiple makers,2021,715013.93,5
SHI INTERNATIONAL CORP,DocuSign,2023,713615.0,4
CDW GOVERNMENT LLC,OpenText,2020,710149.53,4
CDW GOVERNMENT LLC,Nutanix,2024,707541.11,11
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Oracle,2023,702935.31,8
CDW GOVERNMENT LLC,Commvault,2019,701227.98,6
CDW GOVERNMENT LLC,F5,2017,700472.36,8
SHI INTERNATIONAL CORP,Elastic,2023,699831.1,2
CDW GOVERNMENT LLC,Red Hat,2017,698506.0,4
SHI INTERNATIONAL CORP,OpenText,2025,694710.48,1
CDW GOVERNMENT LLC,MongoDB,2018,679500.0,3
SHI INTERNATIONAL CORP,Informatica,2025,659214.12,3
SHI INTERNATIONAL CORP,Riverbed,2021,656572.16,15
CARAHSOFT TECHNOLOGY CORP,ServiceNow,2017,656153.83,8
CDW GOVERNMENT LLC,Adobe,2018,641901.39,10
CDW GOVERNMENT LLC,SAS Institute,2024,636688.9,2
INSIGHT PUBLIC SECTOR INC,Microsoft,2017,628144.29,9
SHI INTERNATIONAL CORP,SAP,2020,627603.56,3
CDW GOVERNMENT LLC,Xerox,2025,611290.0,9
CARAHSOFT TECHNOLOGY CORP,ServiceNow,2020,607856.0,4
SHI INTERNATIONAL CORP,DocuSign,2025,602868.0,4
CDW GOVERNMENT LLC,APC/Schneider,2021,597397.49,6
CARAHSOFT TECHNOLOGY CORP,ServiceNow,2019,593023.11,7
CDW GOVERNMENT LLC,Tableau,2025,584965.05,53
SHI INTERNATIONAL CORP,Ivanti,2026,583439.02,11
SHI INTERNATIONAL CORP,Broadcom/Symantec/CA,2021,576342.34,1
CDW GOVERNMENT LLC,OpenText,2023,575037.84,6
CDW GOVERNMENT LLC,Ciena,2021,573831.76,6
CDW GOVERNMENT LLC,Panasonic,2021,571667.7,12
SHI INTERNATIONAL CORP,Broadcom/Symantec/CA,2020,571348.9400000001,3
SHI INTERNATIONAL CORP,BMC,2019,570391.25,2
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Palo Alto Networks,2019,560390.42,3
CDW GOVERNMENT LLC,Lenovo,2019,555506.73,13
SHI INTERNATIONAL CORP,BlueCrest,2025,553731.43,10
SHI INTERNATIONAL CORP,BMC,2020,549944.25,1
CDW GOVERNMENT LLC,MongoDB,2017,544435.0,3
CDW GOVERNMENT LLC,F5,2024,542429.41,7
CDW GOVERNMENT LLC,Tenable,2019,541528.15,1
CDW GOVERNMENT LLC,Riverbed,2018,537973.9299999999,2
DELL MARKETING LP,SAP,2015,524354.26,4
CDW GOVERNMENT LLC,Esri,2020,523391.8,5
WORLD WIDE TECHNOLOGY LLC,Multiple makers,2023,520211.52,4
CDW GOVERNMENT LLC,Esri,2022,517584.57,5
SHI INTERNATIONAL CORP,Kofax/Tungsten,2021,513448.29,26
DELL MARKETING LP,Multiple makers,2024,512195.85,8
CDW GOVERNMENT LLC,Microsoft,2017,512012.95,9
CDW GOVERNMENT LLC,Nutanix,2025,509339.19999999995,2
SHI INTERNATIONAL CORP,Multiple makers,2019,509057.1,35
SHI INTERNATIONAL CORP,SAP,2026,508621.05,4
CDW GOVERNMENT LLC,NetApp,2015,506256.0,5
CDW GOVERNMENT LLC,OpenText,2024,501801.02,4
WORLD WIDE TECHNOLOGY LLC,Microsoft,2023,499950.0,4
CDW GOVERNMENT LLC,Microsoft,2018,498021.49,3
CDW GOVERNMENT LLC,Varonis,2020,493341.6,1
CDW GOVERNMENT LLC,IBM,2016,491686.23,2
CDW GOVERNMENT LLC,Xerox,2024,487646.76,11
SHI INTERNATIONAL CORP,Apple,2022,487479.23000000004,22
CDW GOVERNMENT LLC,Infoblox,2023,487333.93000000005,2
SHI INTERNATIONAL CORP,Oracle,2023,478285.92,4
CDW GOVERNMENT LLC,BMC,2019,477056.52,2
CDW GOVERNMENT LLC,Tableau,2024,469139.52999999997,29
SHI INTERNATIONAL CORP,Juniper,2023,464314.32,7
SHI INTERNATIONAL CORP,HP/HPE,2026,458960.88,12
CDW GOVERNMENT LLC,Nutanix,2022,457195.88,1
SHI INTERNATIONAL CORP,Citrix,2019,456827.94,2
CDW GOVERNMENT LLC,Autodesk,2024,456213.56,12
CARAHSOFT TECHNOLOGY CORP,ServiceNow,2021,455892.0,1
SHI INTERNATIONAL CORP,BlueCrest,2026,455545.92,3
SHI INTERNATIONAL CORP,SAP,2021,453664.94,1
CDW GOVERNMENT LLC,OpenText,2026,452110.45999999996,3
SHI INTERNATIONAL CORP,Autodesk,2021,450856.43,9
SHI INTERNATIONAL CORP,Riverbed,2019,445194.24,6
INSIGHT PUBLIC SECTOR INC,Juniper,2018,445163.8,2
CDW GOVERNMENT LLC,Esri,2021,445067.3,5
SHI INTERNATIONAL CORP,Ivanti,2024,443343.13,5
SHI INTERNATIONAL CORP,Riverbed,2018,437632.61,3
SHI INTERNATIONAL CORP,Multiple makers,2024,433774.99000000005,7
CDW GOVERNMENT LLC,OpenText,2025,430581.39,2
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Multiple makers,2021,426659.88,2
SHI INTERNATIONAL CORP,IBM,2025,423365.62,9
CDW GOVERNMENT LLC,Arista,2020,419741.1,2
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Oracle,2024,418834.27999999997,8
CDW GOVERNMENT LLC,Dynatrace,2019,416022.83,1
SHI INTERNATIONAL CORP,Riverbed,2024,414482.94,11
SHI INTERNATIONAL CORP,Microsoft,2023,412429.1,10
SHI INTERNATIONAL CORP,Forescout,2025,409367.0,1
SHI INTERNATIONAL CORP,Tableau,2022,403905.37,28
DELL MARKETING LP,Red Hat,2016,399266.82,2
CDW GOVERNMENT LLC,VMware,2019,397132.55,1
DELL MARKETING LP,Red Hat,2019,396000.32,3
SHI INTERNATIONAL CORP,Dell/EMC,2024,392843.6,1
CDW GOVERNMENT LLC,Apple,2019,389491.5,29
CDW GOVERNMENT LLC,Panasonic,2017,385710.72,8
GOVCONNECTION INC,Unattributed,2019,383070.05,178
CDW GOVERNMENT LLC,Xerox,2015,380924.1,5
DELL MARKETING LP,Red Hat,2015,379275.2,5
CARAHSOFT TECHNOLOGY CORP,Salesforce,2024,377595.69,2
CDW GOVERNMENT LLC,Forescout,2019,369328.0,5
SHI INTERNATIONAL CORP,SAP,2022,362180.49,2
SHI INTERNATIONAL CORP,Informatica,2021,361801.87,3
INSIGHT PUBLIC SECTOR INC,Microsoft,2016,361789.34,6
SHI INTERNATIONAL CORP,Broadcom/Symantec/CA,2017,361241.31,3
SHI INTERNATIONAL CORP,Cisco,2023,358400.0,2
CDW GOVERNMENT LLC,Multiple makers,2025,356157.26,5
SHI INTERNATIONAL CORP,Samsung,2020,354613.2,8
SHI INTERNATIONAL CORP,DocuSign,2020,351325.0,1
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Oracle,2025,351228.96,8
CDW GOVERNMENT LLC,Varonis,2019,350999.97,1
SHI INTERNATIONAL CORP,Multiple makers,2020,350033.58999999997,9
CDW GOVERNMENT LLC,Google,2019,350000.0,1
CDW GOVERNMENT LLC,Splunk,2020,350000.0,1
SHI INTERNATIONAL CORP,Informatica,2015,349047.43,8
CDW GOVERNMENT LLC,Infoblox,2021,338280.02,3
INSIGHT PUBLIC SECTOR INC,SAP,2020,338049.26,2
DELL MARKETING LP,SAP,2016,337682.85000000003,2
INSIGHT PUBLIC SECTOR INC,Juniper,2019,336613.18,1
DELL MARKETING LP,SAP,2019,335938.13,2
CDW GOVERNMENT LLC,Tableau,2018,334995.0,4
SHI INTERNATIONAL CORP,Fortinet,2021,334029.72,12
SHI INTERNATIONAL CORP,Juniper,2021,332345.05,6
INSIGHT PUBLIC SECTOR INC,Juniper,2020,330207.33,1
SHI INTERNATIONAL CORP,Forescout,2024,327497.0,1
SHI INTERNATIONAL CORP,IBM,2024,327095.20999999996,6
SHI INTERNATIONAL CORP,Citrix,2022,326306.5,2
SHI INTERNATIONAL CORP,Poly/Polycom,2025,321424.45,24
SHI INTERNATIONAL CORP,Ivanti,2025,316639.08,4
SHI INTERNATIONAL CORP,Fortinet,2026,314670.08,3
CARAHSOFT TECHNOLOGY CORP,Salesforce,2025,314489.62,1
CDW GOVERNMENT LLC,Veritas,2018,312676.54,3
SHI INTERNATIONAL CORP,Citrix,2021,311819.34,3
SHI INTERNATIONAL CORP,Forescout,2023,310241.5,1
SHI INTERNATIONAL CORP,Informatica,2023,308627.06,2
DELL MARKETING LP,OpenText,2018,304328.77,1
CDW GOVERNMENT LLC,OpenText,2019,299881.56,1
INSIGHT PUBLIC SECTOR INC,Unattributed,2016,295934.36,11
GOVCONNECTION INC,Unattributed,2022,294947.66,71
SHI INTERNATIONAL CORP,Pure Storage,2022,293253.24,1
CDW GOVERNMENT LLC,HP/HPE,2024,290516.56,17
CDW GOVERNMENT LLC,BMC,2018,282880.0,4
CDW GOVERNMENT LLC,NetApp,2024,281664.21,3
SHI INTERNATIONAL CORP,Pure Storage,2019,275769.4,2
SHI INTERNATIONAL CORP,Kofax/Tungsten,2022,275745.88,8
SHI INTERNATIONAL CORP,Canon,2026,273417.8,9
GOVCONNECTION INC,Commvault,2021,272370.85,2
DELL MARKETING LP,Multiple makers,2026,270236.47,3
CDW GOVERNMENT LLC,KnowBe4,2023,268500.0,2
SHI INTERNATIONAL CORP,Tyler Technologies,2026,263329.36,2
CDW GOVERNMENT LLC,Cisco,2026,259439.57,1
GOVCONNECTION INC,Unattributed,2021,257272.91,80
SHI INTERNATIONAL CORP,Pure Storage,2023,256998.24,1
SHI INTERNATIONAL CORP,ServiceNow,2019,256056.0,1
GOVCONNECTION INC,Commvault,2020,253923.06,2
GOVCONNECTION INC,Commvault,2019,253921.06,1
CDW GOVERNMENT LLC,Panasonic,2019,253036.66,9
WORLD WIDE TECHNOLOGY LLC,Snowflake,2026,250000.0,1
SHI INTERNATIONAL CORP,Tenable,2024,249020.36,4
CDW GOVERNMENT LLC,Axis Communications,2026,241797.4,11
CDW GOVERNMENT LLC,Brocade,2016,240989.2,5
DELL MARKETING LP,Informatica,2018,238479.90000000002,2
SHI INTERNATIONAL CORP,SAP,2019,236310.87,3
GOVCONNECTION INC,Unattributed,2016,235604.04,196
SHI INTERNATIONAL CORP,Informatica,2022,235205.7,2
DELL MARKETING LP,Informatica,2019,227130.38,2
CDW GOVERNMENT LLC,Red Hat,2018,226510.9,2
CDW GOVERNMENT LLC,Red Hat,2019,226510.9,1
CARAHSOFT TECHNOLOGY CORP,HP/HPE,2019,225569.61,6
WORLD WIDE TECHNOLOGY LLC,Microsoft,2024,224963.05,1
SHI INTERNATIONAL CORP,DocuSign,2022,224250.0,1
CDW GOVERNMENT LLC,Ciena,2022,224202.56999999998,3
SHI INTERNATIONAL CORP,Samsung,2025,224118.0,2
DELL MARKETING LP,SAP,2017,223384.73,1
GOVCONNECTION INC,Unattributed,2015,216425.09,197
INSIGHT PUBLIC SECTOR INC,Unattributed,2015,214204.61000000002,10
DELL MARKETING LP,Informatica,2017,213412.08000000002,3
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,BMC,2016,211919.98,5
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Oracle,2026,207975.96,4
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Oracle,2021,207920.18000000002,4
DELL MARKETING LP,Oracle,2025,204835.04,2
CDW GOVERNMENT LLC,Rapid7,2026,201387.7,1
SHI INTERNATIONAL CORP,Adobe,2015,200461.6,9
SHI INTERNATIONAL CORP,Zoom,2025,199894.2,51
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Multiple makers,2023,199868.06,2
CARAHSOFT TECHNOLOGY CORP,Red Hat,2020,197965.37,3
SHI INTERNATIONAL CORP,Forescout,2026,196830.0,1
SHI INTERNATIONAL CORP,AWS,2021,196734.31,5
CDW GOVERNMENT LLC,Splunk,2017,195624.01,1
SHI INTERNATIONAL CORP,DocuSign,2024,195452.52,3
DELL MARKETING LP,Autodesk,2020,194099.35,3
CDW GOVERNMENT LLC,Tableau,2016,192758.53,2
SHI INTERNATIONAL CORP,Skyhigh Security,2024,189158.3,2
SHI INTERNATIONAL CORP,Tenable,2019,187651.34,7
SHI INTERNATIONAL CORP,Zoom,2026,187254.29,61
CDW GOVERNMENT LLC,Splunk,2019,186754.68,1
CDW GOVERNMENT LLC,Splunk,2018,186754.68,1
SHI INTERNATIONAL CORP,Canon,2022,186738.59000000003,3
CARAHSOFT TECHNOLOGY CORP,Salesforce,2019,186002.55,12
CARAHSOFT TECHNOLOGY CORP,Salesforce,2021,180925.36,12
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Dell/EMC,2025,179914.49,1
CDW GOVERNMENT LLC,Panasonic,2015,179285.89,48
CARAHSOFT TECHNOLOGY CORP,Salesforce,2017,178886.53,12
WORLD WIDE TECHNOLOGY LLC,Microsoft,2025,176837.75,3
CDW GOVERNMENT LLC,Autodesk,2016,175138.34,4
DELL MARKETING LP,HP/HPE,2015,174889.57,2
CARAHSOFT TECHNOLOGY CORP,Salesforce,2018,170030.09,9
SHI INTERNATIONAL CORP,Tenable,2026,164683.04,3
SHI INTERNATIONAL CORP,HP/HPE,2016,164501.99,2
DELL MARKETING LP,Citrix,2017,163625.0,1
CDW GOVERNMENT LLC,Cisco,2015,161782.6,4
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Dell/EMC,2018,161232.48,2
CARAHSOFT TECHNOLOGY CORP,Salesforce,2022,159327.06,16
SHI INTERNATIONAL CORP,Canon,2023,157211.01,1
SHI INTERNATIONAL CORP,Ivanti,2020,156881.8,1
SHI INTERNATIONAL CORP,IBM,2023,156159.79,2
CDW GOVERNMENT LLC,Panasonic,2024,154701.94,4
CARAHSOFT TECHNOLOGY CORP,Red Hat,2021,153280.8,2
CARAHSOFT TECHNOLOGY CORP,Salesforce,2015,152802.91,3
SHI INTERNATIONAL CORP,Multiple makers,2025,151109.9,4
SHI INTERNATIONAL CORP,Tenable,2025,150626.84,3
SHI INTERNATIONAL CORP,Oracle,2016,149657.03,4
SHI INTERNATIONAL CORP,Canon,2024,148872.17,5
GOVCONNECTION INC,Unattributed,2020,147705.51,116
SHI INTERNATIONAL CORP,HP/HPE,2018,147343.32,1
SHI INTERNATIONAL CORP,APC/Schneider,2023,147054.5,2
SHI INTERNATIONAL CORP,Riverbed,2026,145621.4,4
SHI INTERNATIONAL CORP,UKG/Kronos,2020,145543.18,3
SHI INTERNATIONAL CORP,Kofax/Tungsten,2025,143144.15,5
DELL MARKETING LP,GitHub,2026,140849.8,6
DELL MARKETING LP,Dynatrace,2020,140841.07,2
SHI INTERNATIONAL CORP,Commvault,2018,140839.32,4
SHI INTERNATIONAL CORP,Oracle,2015,140597.25,3
INSIGHT PUBLIC SECTOR INC,Riverbed,2023,139939.52,8
SHI INTERNATIONAL CORP,Autodesk,2019,138937.95,4
SHI INTERNATIONAL CORP,Informatica,2017,137015.64,2
SHI INTERNATIONAL CORP,Tenable,2021,136163.71000000002,3
CDW GOVERNMENT LLC,Lenovo,2016,135736.62,6
CDW GOVERNMENT LLC,Axis Communications,2024,135258.82,13
CDW GOVERNMENT LLC,F5,2025,134851.7,2
SHI INTERNATIONAL CORP,Ivanti,2022,133941.1,4
CDW GOVERNMENT LLC,F5,2026,133381.94,2
DELL MARKETING LP,Dynatrace,2019,132868.97,1
SHI INTERNATIONAL CORP,Zoom,2023,132767.1,30
SHI INTERNATIONAL CORP,Veeam,2019,130285.9,2
SHI INTERNATIONAL CORP,Kofax/Tungsten,2023,129474.7,5
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Oracle,2022,128712.78,3
SHI INTERNATIONAL CORP,Google,2022,127312.0,2
DELL MARKETING LP,GitHub,2024,125917.5,5
CDW GOVERNMENT LLC,Varonis,2024,125904.4,1
CDW GOVERNMENT LLC,Varonis,2023,125904.4,1
CDW GOVERNMENT LLC,Varonis,2025,125904.4,1
DELL MARKETING LP,Dynatrace,2018,125348.07,1
SHI INTERNATIONAL CORP,Ivanti,2023,124216.6,2
SHI INTERNATIONAL CORP,Google,2021,122964.6,5
SHI INTERNATIONAL CORP,Multiple makers,2026,122725.1,2
CARAHSOFT TECHNOLOGY CORP,Veritas,2020,122123.86,1
SHI INTERNATIONAL CORP,Commvault,2015,122121.18000000001,3
SHI INTERNATIONAL CORP,Splunk,2017,121292.12,4
SHI INTERNATIONAL CORP,Tenable,2022,120869.81999999999,3
SHI INTERNATIONAL CORP,Zoom,2024,119375.59,39
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Cisco,2015,118942.55,4
CDW GOVERNMENT LLC,Apple,2016,117490.22,23
SHI INTERNATIONAL CORP,Commvault,2016,115735.43,3
DELL MARKETING LP,GitHub,2023,115257.0,2
GOVCONNECTION INC,Unattributed,2023,115101.72,57
CARAHSOFT TECHNOLOGY CORP,Atlassian,2021,113889.04,6
SHI INTERNATIONAL CORP,Autodesk,2020,113301.06999999999,6
SHI INTERNATIONAL CORP,Riverbed,2025,113120.42,6
DELL MARKETING LP,SAP,2018,112553.4,1
DELL MARKETING LP,Varonis,2017,112543.04000000001,2
SHI INTERNATIONAL CORP,Commvault,2017,111112.87000000001,3
SHI INTERNATIONAL CORP,Adobe,2018,108763.71,6
CARAHSOFT TECHNOLOGY CORP,Red Hat,2022,108596.23,2
SHI INTERNATIONAL CORP,Informatica,2019,108031.49,8
DELL MARKETING LP,Adobe,2018,106840.45000000001,2
CDW GOVERNMENT LLC,Dell/EMC,2015,106683.1,3
SHI INTERNATIONAL CORP,Apple,2024,106550.67000000001,5
INSIGHT PUBLIC SECTOR INC,Commvault,2020,105782.28,3
INSIGHT PUBLIC SECTOR INC,Microsoft,2018,103165.78,3
DELL MARKETING LP,Oracle,2024,102417.53,1
SHI INTERNATIONAL CORP,HP/HPE,2025,101929.15,12
SHI INTERNATIONAL CORP,Panasonic,2024,99990.0,4
SHI INTERNATIONAL CORP,Atlassian,2022,99925.0,1
SHI INTERNATIONAL CORP,UKG/Kronos,2019,99665.5,2
SHI INTERNATIONAL CORP,Tenable,2020,99129.31,1
SHI INTERNATIONAL CORP,Samsung,2022,99013.75,3
SHI INTERNATIONAL CORP,Citrix,2026,98784.0,3
INSIGHT PUBLIC SECTOR INC,Microsoft,2015,97466.45,6
INSIGHT PUBLIC SECTOR INC,SolarWinds,2025,96868.32,3
DELL MARKETING LP,Veritas,2018,96749.87,1
SHI INTERNATIONAL CORP,Panasonic,2019,96606.3,1
DELL MARKETING LP,GitHub,2025,95790.0,1
SHI INTERNATIONAL CORP,Splunk,2021,95665.07,2
CDW GOVERNMENT LLC,HP/HPE,2015,94656.63,23
SHI INTERNATIONAL CORP,Tableau,2017,94308.0,3
SHI INTERNATIONAL CORP,Atlassian,2021,93784.08,1
SHI INTERNATIONAL CORP,Pure Storage,2024,93756.96,1
SHI INTERNATIONAL CORP,NetApp,2023,93205.5,1
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,F5,2015,92416.0,1
CARAHSOFT TECHNOLOGY CORP,Atlassian,2020,92025.01,2
SHI INTERNATIONAL CORP,Splunk,2019,91907.37,1
SHI INTERNATIONAL CORP,KnowBe4,2019,91130.76,1
SHI INTERNATIONAL CORP,Dell/EMC,2026,89850.0,1
SHI INTERNATIONAL CORP,Pure Storage,2025,89534.16,1
SHI INTERNATIONAL CORP,Splunk,2022,89500.0,1
SHI INTERNATIONAL CORP,Ivanti,2019,89488.86,1
SHI INTERNATIONAL CORP,Splunk,2025,88981.2,2
PRESIDIO NETWORKED SOLUTIONS LLC,Unattributed,2025,88892.37,12
SHI INTERNATIONAL CORP,Tableau,2024,88829.19,6
DELL MARKETING LP,Informatica,2020,88816.5,1
SHI INTERNATIONAL CORP,SolarWinds,2019,88191.38,8
WORLD WIDE TECHNOLOGY LLC,Snowflake,2025,87600.0,1
SHI INTERNATIONAL CORP,Fortinet,2019,86212.66,2
SHI INTERNATIONAL CORP,Kofax/Tungsten,2026,81862.98,3
SHI INTERNATIONAL CORP,Varonis,2016,79810.28,2
SHI INTERNATIONAL CORP,Dell/EMC,2016,79172.86,1
SHI INTERNATIONAL CORP,Dell/EMC,2020,78668.17,2
CDW GOVERNMENT LLC,Gigamon,2020,78543.34,2
INSIGHT PUBLIC SECTOR INC,Riverbed,2024,77202.84,3
SHI INTERNATIONAL CORP,UKG/Kronos,2021,76163.5,7
SHI INTERNATIONAL CORP,Varonis,2015,75982.58,2
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Fortinet,2023,75947.1,3
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Oracle,2020,75386.12,1
CDW GOVERNMENT LLC,Logitech,2021,74991.08,2
SHI INTERNATIONAL CORP,Oracle,2024,74898.35,5
DELL MARKETING LP,Informatica,2016,74212.76,1
CARAHSOFT TECHNOLOGY CORP,Multiple makers,2015,73657.5,2
SHI INTERNATIONAL CORP,Netscout,2018,73500.22,2
DELL MARKETING LP,Informatica,2015,73043.95999999999,2
CDW GOVERNMENT LLC,Apple,2026,72394.73,50
SHI INTERNATIONAL CORP,Splunk,2018,71669.88,2
DELL MARKETING LP,Red Hat,2017,71200.0,1
CDW GOVERNMENT LLC,Veritas,2019,70539.9,4
SHI INTERNATIONAL CORP,Smartsheet,2024,69650.0,7
SHI INTERNATIONAL CORP,IBM,2021,69600.0,1
CDW GOVERNMENT LLC,Axis Communications,2023,68810.18,5
CDW GOVERNMENT LLC,Microsoft,2016,68637.95,5
INSIGHT PUBLIC SECTOR INC,APC/Schneider,2018,68182.8,3
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Red Hat,2025,68059.36,1
CDW GOVERNMENT LLC,Multiple makers,2020,67711.9,3
SHI INTERNATIONAL CORP,OpenText,2015,67330.27,1
SHI INTERNATIONAL CORP,UiPath,2023,66583.08,2
SHI INTERNATIONAL CORP,SolarWinds,2020,66572.7,1
