payee_name,maker,fiscal_year,spend,checks
CDW GOVERNMENT LLC,IBM,2023,19145002.509999998,130
CDW GOVERNMENT LLC,Google,2022,18980777.3,26
CDW GOVERNMENT LLC,IBM,2020,18804578.419999998,38
SHI INTERNATIONAL CORP,CrowdStrike,2025,18678329.46,2
SHI INTERNATIONAL CORP,Unattributed,2016,18644240.68,2312
DELL MARKETING LP,Unattributed,2021,17423265.59,382
WORLD WIDE TECHNOLOGY LLC,Unattributed,2025,17416839.24,71
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Cisco,2024,16955870.98,165
SHI INTERNATIONAL CORP,VMware,2020,16885943.99,9
CDW GOVERNMENT LLC,Salesforce,2025,16670536.11,72
CDW GOVERNMENT LLC,Cisco,2021,16582150.280000001,27
CDW GOVERNMENT LLC,IBM,2025,16569180.18,125
CDW GOVERNMENT LLC,Palo Alto Networks,2023,16504493.43,27
CDW GOVERNMENT LLC,Salesforce,2023,16194461.95,57
INSIGHT PUBLIC SECTOR INC,Unattributed,2022,14773721.85,651
CDW GOVERNMENT LLC,Salesforce,2026,14291631.09,71
DELL MARKETING LP,Dell/EMC,2015,14062561.42,337
CDW GOVERNMENT LLC,Arista,2026,14008344.27,71
SHI INTERNATIONAL CORP,CrowdStrike,2024,13895800.93,4
CDW GOVERNMENT LLC,Salesforce,2024,13836174.39,65
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Cisco,2021,13813229.89,103
SHI INTERNATIONAL CORP,CrowdStrike,2022,13786373.05,3
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Unattributed,2018,13533322.85,229
CDW GOVERNMENT LLC,Commvault,2026,13414061.29,16
SHI INTERNATIONAL CORP,CrowdStrike,2023,13127570.0,2
SHI INTERNATIONAL CORP,CrowdStrike,2021,13127570.0,2
SHI INTERNATIONAL CORP,ServiceNow,2023,13098137.78,49
CARAHSOFT TECHNOLOGY CORP,VMware,2015,13060648.0,12
CDW GOVERNMENT LLC,Dell/EMC,2017,12995760.32,91
CDW GOVERNMENT LLC,Palo Alto Networks,2018,12340748.39,27
CDW GOVERNMENT LLC,Google,2025,12088763.72,50
SHI INTERNATIONAL CORP,Microsoft,2025,11878777.02,72
CDW GOVERNMENT LLC,Oracle,2018,11866120.66,35
WORLD WIDE TECHNOLOGY LLC,Armis,2026,11618358.52,11
SHI INTERNATIONAL CORP,Unattributed,2018,11523853.12,919
CDW GOVERNMENT LLC,Palo Alto Networks,2022,11167551.99,22
CDW GOVERNMENT LLC,IBM,2019,11157581.25,72
CDW GOVERNMENT LLC,Oracle,2023,11042726.28,15
SHI INTERNATIONAL CORP,ServiceNow,2025,10987225.97,28
CDW GOVERNMENT LLC,Arista,2025,10764609.37,42
CDW GOVERNMENT LLC,Palo Alto Networks,2020,10626503.129999999,17
CDW GOVERNMENT LLC,Ciena,2023,10381737.77,8
SHI INTERNATIONAL CORP,CrowdStrike,2020,10078022.0,4
CDW GOVERNMENT LLC,IBM,2021,10001457.03,23
CDW GOVERNMENT LLC,Securonix,2026,9894772.6,1
SHI INTERNATIONAL CORP,Securonix,2026,9894772.6,1
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Cisco,2025,9884057.790000001,120
SHI INTERNATIONAL CORP,Red Hat,2023,9882007.03,15
CDW GOVERNMENT LLC,Google,2021,9878698.49,21
SHI INTERNATIONAL CORP,Software AG,2025,9825539.64,16
SHI INTERNATIONAL CORP,Securonix,2025,9706153.5,1
CDW GOVERNMENT LLC,Dell/EMC,2019,9609077.91,63
CDW GOVERNMENT LLC,Cisco,2018,9356353.47,60
SHI INTERNATIONAL CORP,ServiceNow,2022,9348600.81,36
SHI INTERNATIONAL CORP,Fortinet,2024,9318651.25,16
SHI INTERNATIONAL CORP,Check Point,2024,9311234.76,19
WORLD WIDE TECHNOLOGY LLC,Multiple makers,2025,9224695.54,10
SHI INTERNATIONAL CORP,Unattributed,2017,9175343.26,694
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Unattributed,2017,9174969.58,156
SHI INTERNATIONAL CORP,CrowdStrike,2019,9132000.0,2
SHI INTERNATIONAL CORP,Trellix/McAfee,2020,9112740.93,18
GOVCONNECTION INC,Unattributed,2025,9061663.25,50
CDW GOVERNMENT LLC,Splunk,2025,8935876.16,23
SHI INTERNATIONAL CORP,Deloitte,2025,8799948.9,2
SHI INTERNATIONAL CORP,Microsoft,2026,8765545.96,49
CDW GOVERNMENT LLC,Cisco,2020,8749137.41,121
SHI INTERNATIONAL CORP,Juniper,2025,8741121.7,24
SHI INTERNATIONAL CORP,Netscout,2023,8595118.23,6
SHI INTERNATIONAL CORP,Trellix/McAfee,2022,8530574.92,46
CDW GOVERNMENT LLC,MTX Group,2026,8471187.28,34
CDW GOVERNMENT LLC,Dell/EMC,2018,8465734.97,103
DELL MARKETING LP,Dell/EMC,2016,8404524.63,215
SHI INTERNATIONAL CORP,Trellix/McAfee,2021,8317934.26,48
CDW GOVERNMENT LLC,IBM,2017,8155128.39,34
DELL MARKETING LP,Microsoft,2023,8085929.6,32
SHI INTERNATIONAL CORP,Adobe,2026,8078205.31,27
CDW GOVERNMENT LLC,Palo Alto Networks,2021,7896829.64,15
CDW GOVERNMENT LLC,Multiple makers,2017,7894505.11,55
SHI INTERNATIONAL CORP,Red Hat,2024,7886424.51,20
SHI INTERNATIONAL CORP,Red Hat,2025,7714634.84,22
CDW GOVERNMENT LLC,Accela,2024,7674655.12,4
SHI INTERNATIONAL CORP,Trellix/McAfee,2023,7663895.29,39
DELL MARKETING LP,Dell/EMC,2023,7632812.08,44
SHI INTERNATIONAL CORP,HP/HPE,2020,7618234.08,159
WORLD WIDE TECHNOLOGY LLC,Unattributed,2023,7590450.62,68
SHI INTERNATIONAL CORP,Check Point,2020,7554181.84,11
SHI INTERNATIONAL CORP,Check Point,2023,7488118.16,16
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Cisco,2019,7458221.18,45
WORLD WIDE TECHNOLOGY LLC,Armis,2025,7452388.350000001,13
SHI INTERNATIONAL CORP,VMware,2019,7446195.0,4
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Cisco,2026,7402475.41,159
WORLD WIDE TECHNOLOGY LLC,Unattributed,2024,7351220.58,85
SHI INTERNATIONAL CORP,Skyhigh Security,2025,7330459.0,4
INSIGHT PUBLIC SECTOR INC,Unattributed,2021,7210617.61,102
SHI INTERNATIONAL CORP,Adobe,2025,7194739.43,110
WORLD WIDE TECHNOLOGY LLC,Live XYZ,2026,7105263.0,3
SHI INTERNATIONAL CORP,Veracode,2023,7035122.8,3
SHI INTERNATIONAL CORP,VMware,2022,6658537.149999999,10
CDW GOVERNMENT LLC,Reveald,2025,6625625.76,1
CDW GOVERNMENT LLC,Reveald,2026,6625625.76,1
CDW GOVERNMENT LLC,Reveald,2024,6625625.76,1
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Cisco,2023,6495854.11,77
CDW GOVERNMENT LLC,Oracle,2024,6375559.76,19
CDW GOVERNMENT LLC,Reveald,2023,6272468.0,1
SHI INTERNATIONAL CORP,Lenovo,2024,6249392.07,52
CDW GOVERNMENT LLC,MTX Group,2025,6200795.16,18
CDW GOVERNMENT LLC,HP/HPE,2018,6200064.69,66
CDW GOVERNMENT LLC,Multiple makers,2022,6155569.17,18
CDW GOVERNMENT LLC,Oracle,2019,6008947.1,16
WORLD WIDE TECHNOLOGY LLC,NetApp,2026,5981265.94,16
SHI INTERNATIONAL CORP,Red Hat,2022,5959286.49,18
DELL MARKETING LP,Dell/EMC,2026,5721471.87,158
SHI INTERNATIONAL CORP,Software AG,2023,5681000.0,1
CDW GOVERNMENT LLC,HP/HPE,2019,5671783.4,157
WORLD WIDE TECHNOLOGY LLC,AWS,2026,5647580.89,246
WORLD WIDE TECHNOLOGY LLC,AWS,2025,5592123.94,261
GOVCONNECTION INC,Unattributed,2026,5585418.22,477
SHI INTERNATIONAL CORP,Trellix/McAfee,2019,5549047.42,3
CDW GOVERNMENT LLC,Esri,2024,5535422.96,28
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Palo Alto Networks,2021,5511841.4399999995,5
SHI INTERNATIONAL CORP,Nuvalence,2026,5418202.64,27
SHI INTERNATIONAL CORP,Trellix/McAfee,2024,5409701.96,28
SHI INTERNATIONAL CORP,Software AG,2026,5366444.53,3
CDW GOVERNMENT LLC,Palo Alto Networks,2019,5352504.87,11
DELL MARKETING LP,Dell/EMC,2019,5317568.090000001,60
CDW GOVERNMENT LLC,MTX Group,2024,5285676.2,9
CDW GOVERNMENT LLC,Esri,2023,5271557.3,33
CARAHSOFT TECHNOLOGY CORP,Unattributed,2026,5219459.91,154
SHI INTERNATIONAL CORP,NetApp,2020,5179943.77,6
SHI INTERNATIONAL CORP,Securonix,2024,4981475.52,1
CARAHSOFT TECHNOLOGY CORP,Unattributed,2020,4954311.9799999995,111
CDW GOVERNMENT LLC,Multiple makers,2026,4951382.21,13
SHI INTERNATIONAL CORP,Securonix,2023,4928505.6,1
CDW GOVERNMENT LLC,ScienceLogic,2019,4912038.880000001,2
CDW GOVERNMENT LLC,Cisco,2022,4910759.93,19
CDW GOVERNMENT LLC,ScienceLogic,2022,4797891.24,3
INSIGHT PUBLIC SECTOR INC,Unattributed,2023,4796149.17,250
SHI INTERNATIONAL CORP,Lenovo,2026,4780668.01,18
DELL MARKETING LP,Broadcom/Symantec/CA,2021,4685807.53,6
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Multiple makers,2016,4658100.04,12
DELL MARKETING LP,Microsoft,2025,4633369.28,55
CARAHSOFT TECHNOLOGY CORP,Unattributed,2019,4620713.31,157
CDW GOVERNMENT LLC,CrowdStrike,2017,4596300.0,3
CDW GOVERNMENT LLC,HP/HPE,2022,4539379.44,69
DELL MARKETING LP,Broadcom/Symantec/CA,2025,4466111.63,1
SHI INTERNATIONAL CORP,VMware,2021,4458567.12,6
CDW GOVERNMENT LLC,HP/HPE,2020,4456332.37,36
CDW GOVERNMENT LLC,CrowdStrike,2018,4445000.0,1
CDW GOVERNMENT LLC,Cisco,2024,4420612.79,16
SHI INTERNATIONAL CORP,VMware,2026,4402156.0200000005,4
CDW GOVERNMENT LLC,Accela,2023,4396700.17,7
CDW GOVERNMENT LLC,Oracle,2025,4357657.0,8
CDW GOVERNMENT LLC,Autodesk,2023,4351014.1,25
CDW GOVERNMENT LLC,Salesforce,2021,4322433.23,6
CDW GOVERNMENT LLC,VMware,2026,4317838.359999999,2
CDW GOVERNMENT LLC,HP/HPE,2017,4225084.83,57
SHI INTERNATIONAL CORP,VMware,2024,4211266.99,11
DELL MARKETING LP,Broadcom/Symantec/CA,2024,4170038.86,1
SHI INTERNATIONAL CORP,Veritas,2020,4162758.33,12
SHI INTERNATIONAL CORP,Securonix,2022,4159123.2,1
SHI INTERNATIONAL CORP,ServiceNow,2024,4158594.44,31
SHI INTERNATIONAL CORP,NetApp,2021,4142251.91,7
CARAHSOFT TECHNOLOGY CORP,Unattributed,2025,4082661.06,144
CDW GOVERNMENT LLC,Multiple makers,2024,4077308.5,5
DELL MARKETING LP,Dell/EMC,2017,4048483.57,65
CARAHSOFT TECHNOLOGY CORP,Unattributed,2023,4002283.25,113
DELL MARKETING LP,Dell/EMC,2018,3969859.77,103
PRESIDIO NETWORKED SOLUTIONS GROUP LLC,Dell/EMC,2016,3913868.59,7
SHI INTERNATIONAL CORP,Nuvalence,2025,3906279.64,18
CDW GOVERNMENT LLC,HP/HPE,2023,3863481.65,104
SHI INTERNATIONAL CORP,Commvault,2021,3861471.47,4
CARAHSOFT TECHNOLOGY CORP,Unattributed,2024,3860137.97,138
CDW GOVERNMENT LLC,IBM,2018,3856761.97,17
